additional_time,cook_time,directions_steps,image,image_url,ingredients_list,nutrition_facts,prep_time,recipe_details_list,servings,title,total_time,yield_result
,,"Gather all ingredients.,Turn on a multi-functional pressure cooker (such as an Instant Pot) and select Sauté function. Heat oil for 1 minute.,Add onion and 1/2 teaspoon salt to pot; cook and stir until onion begins to soften, 3 to 4 minutes.,Sprinkle beef with 1 teaspoon salt and the pepper. Add to the pot. Cook and stir until beef is evenly browned, about 2 minutes.,Add garlic and thyme; cook until fragrant, about 30 seconds.,Pour in soy sauce. Stir mushrooms into the pot. Stir in flour until incorporated. Stir in chicken broth and remaining 1/2 teaspoon salt.,Close and lock the lid. Set to high pressure according to manufacturer's instructions for 10 minutes. Allow 10 to 15 minutes for pressure to build.,Release pressure carefully using the quick-release method.,Open pot; stir in egg noodles. Close and lock the lid. Set to high pressure according to manufacturer's instructions for 5 minutes.,Release pressure naturally for 5 minutes according to manufacturer's instruction. Release remaining pressure using the quick-release method. Open pressure cooker; stir in sour cream.,Serve and enjoy!",,,"2 tablespoons canola oil,½ onion, diced,2 teaspoons salt, divided,2 pounds beef stew meat, cut into 1-inch cubes,1 teaspoon freshly ground black pepper,3 cloves garlic, minced,½ teaspoon dried thyme,2 tablespoons soy sauce,3 cups chopped mushrooms,2 tablespoons all-purpose flour,3 cups chicken broth,1 (16 ounce) package wide egg noodles,¾ cup sour cream, or to taste","[{'536': 'Calories'}, {'26g': 'Fat'}, {'45g': 'Carbs'}, {'29g': 'Protein'}]",,,,Beef Stroganoff for Instant Pot,,
,,"Cook ground beef and onion in a large skillet over medium-high heat until beef is browned and crumbly and onion is translucent, 5 to 7 minutes. Drain excess grease.,Reduce the heat to medium. Stir in ketchup, vinegar, brown sugar, mustard, salt, and pepper; simmer for about 15 minutes.,Spoon beef mixture onto buns to serve.",,https://www.allrecipes.com/thmb/Yk3wBVKW4lrEOig94XAxzckzl_Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/92763PennsylvaniaCoalRegionBarbecueMyHotSouthernMess4x3-90148be6146b4a34a5e20476be7ba9fb.jpg,"1 pound ground beef,1 medium onion, chopped,¾ cup ketchup,1 ½ tablespoons white vinegar,1 ½ tablespoons brown sugar,1 ½ teaspoons prepared yellow mustard,salt and pepper to taste,4 hamburger buns","[{'214': 'Calories'}, {'15g': 'Fat'}, {'10g': 'Carbs'}, {'10g': 'Protein'}]",,,,Pennsylvania Coal Region Barbecue,,
,,"Gather all ingredients. Preheat the oven to 300 degrees F (150 degrees C).,Gently mix the flour, baking powder, baking soda, and salt with a fork in a bowl. Set aside.,Beat the butter, brown sugar, and white sugar with an electric mixer in a large bowl until smooth. Add the eggs one at a time, allowing each egg to blend into the butter mixture before adding the next. Beat in the vanilla with the last egg.,Mix in the flour mixture until just incorporated. Fold in the chocolate chips, mixing just enough to evenly combine.,Divide the dough into 24 3-tablespoon-sized balls. Flatten the balls to about 1/4-inch thick onto a baking sheet.,Bake in the preheated oven until the edges are golden, 15 to 17 minutes. Allow the cookies to cool on the baking sheet until the centers begin to set, about 20 minutes.",,https://www.allrecipes.com/thmb/eUoZXQu7EVRrjKSpr3rF9wv5bpY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-178151-felix-ks-dont-even-try-to-say-these-arent-the-best-youve-ever-eaten-because-they-are-chocolate-chip-cookies-VAT-4x3-d77f62c3a2d74e979f788a86ba9bec36.jpg,"3 ½ cups all-purpose flour,1 teaspoon baking powder,1 teaspoon baking soda,1 teaspoon salt,1 cup butter, softened,2 cups brown sugar,6 tablespoons white sugar,2 eggs,4 teaspoons vanilla extract,1 (12 ounce) bag chocolate chips","[{'267': 'Calories'}, {'13g': 'Fat'}, {'38g': 'Carbs'}, {'3g': 'Protein'}]",,,,"Felix K.'s 'Don't even try to say these aren't the best you've ever eaten, because they are' Chocolate Chip Cookies",,
,,"Cook pasta as directed on package, adding broccoli to the boiling water for the last 2 minutes of the pasta cooking time. Drain pasta mixture.,Meanwhile, heat dressing in large nonstick skillet on medium-high heat. Add chicken and cook until no longer pink in the center, stirring occasionally, about 5 to 7 minutes.,Stir in milk, cream cheese, Parmesan cheese, and basil. Bring to a boil, stirring constantly. Cook until sauce is well blended and heated through, about 1 to 2 minutes.,Add chicken mixture to pasta mixture; mix lightly.",,https://www.allrecipes.com/thmb/zZqEslmLznOTHeSg1KhtbhUgQRs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1421993-easy-chicken-and-broccoli-alfredo-Breanna-Dean-4x3-1-ca264a6d14be41fa8bccec3edf4bbc5e.jpg,"8 ounces fettuccine, uncooked,2 cups fresh broccoli florets,¼ cup Kraft Zesty Italian Dressing,1 pound boneless skinless chicken breasts, cut into bite-sized pieces,1 ⅔ cups milk,4 ounces Philadelphia Cream Cheese, cubed,¼ cup Kraft Grated Parmesan Cheese,½ teaspoon dried basil leaves","[{'511': 'Calories'}, {'21g': 'Fat'}, {'32g': 'Carbs'}, {'47g': 'Protein'}]",,,,Easy Chicken and Broccoli Alfredo,,
,,"In a medium bowl, mix together the ground beef, egg, cracker crumbs, onion, salt, pepper and poultry seasoning using your hands. Shape into 6 patties about 1 inch thick.,Fry the patties in a large skillet over medium-high heat for 3 to 4 minutes per side, or until browned. Drain off grease, and remove patties to a platter; keep warm.,Melt the butter in the same skillet, and add the mushrooms. Cook and stir for about 2 minutes. Sprinkle the flour over, and mix in until blended. Stir in the milk and beef bouillon. Cook and stir over medium heat until smooth and starting to thicken. Return the patties to the gravy and cook over low heat, uncovered, for 10 minutes, stirring occasionally.",,,"1 pound ground beef,1 egg,3 tablespoons crushed buttery round cracker crumbs,2 tablespoons finely chopped onion,½ teaspoon salt,½ teaspoon pepper,¼ teaspoon poultry seasoning,2 (4 ounce) cans sliced mushrooms with juice,3 tablespoons butter,3 tablespoons all-purpose flour,3 cups milk,3 cubes beef bouillon","[{'296': 'Calories'}, {'19g': 'Fat'}, {'13g': 'Carbs'}, {'19g': 'Protein'}]",,,,Scrumptious Salisbury Steak in Mushroom Gravy,,
,,"Combine rhubarb and lemon juice in a large saucepan over medium-low heat; cook, stirring often, for 5 minutes.,Mix 1 cup sugar and cornstarch together in a bowl; stir into rhubarb mixture. Cook and stir until rhubarb mixture is thickened and bubbling, about 5 minutes. Stir in pie filling; remove from heat and cool filling, about 10 minutes.,Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish.,Combine 3 cups flour, 1 cup sugar, baking powder, baking soda, and salt in a large bowl; cut in 1 cup cubed butter until mixture resembles fine crumbs.,Beat buttermilk, eggs, and vanilla extract together in a separate bowl; add to flour mixture and stir just until batter is moistened.,Spread a little more than half of the batter into the prepared baking dish; top with cherry-rhubarb filling. Drop teaspoonfuls of remaining batter over filling.,Combine 1 1/2 cup sugar and 1 1/2 cups flour in a bowl; cut in 1/2 cup cubed butter until mixture resembles coarse crumbs. Sprinkle mixture over batter.,Bake in the preheated oven until a toothpick inserted in the center comes out clean, 40 to 45 minutes.",,https://www.allrecipes.com/thmb/VmMWPN0MCXSoUQ9GfNx-ilzPFHs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/257395big-rays-cherry-rhubarb-coffee-barsKim-a63a0968850e44afbbc4439d49df5b5c.jpg,"4 cups chopped rhubarb,2 tablespoons lemon juice,1 cup white sugar,⅓ cup cornstarch,1 (20 ounce) can cherry pie filling,3 cups all-purpose flour,1 cup white sugar,1 teaspoon baking powder,1 teaspoon baking soda,½ teaspoon salt,1 cup cold butter, cubed,1 cup buttermilk,2 eggs, lightly beaten,1 teaspoon vanilla extract,1 ½ cups white sugar,1 ½ cups all-purpose flour,½ cup cold butter, cubed","[{'466': 'Calories'}, {'16g': 'Fat'}, {'76g': 'Carbs'}, {'5g': 'Protein'}]",,,,Big Ray's Cherry Rhubarb Coffee Bars,,
,,"Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 to 10 minutes or until al dente; drain.,Meanwhile, heat oil in a small skillet over medium-low heat. Stir in sesame seeds and cook until golden brown. Remove from heat. Stir in soy sauce, vinegar, and sugar. Pour dressing into a sealable container, and set aside.,In a large bowl, mix together pasta, cooked chicken, and 1 cup dressing (reserve remaining dressing). Cover salad, and refrigerate at least 6 hours.,Directly before serving, stir in parsley, green onions, and spinach. Toss with remaining dressing, if desired.",,https://www.allrecipes.com/thmb/GvXqlARWBDzcRCb4L4BCGrX7A9M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/96736-fe982ee037244e02949c139121375724.jpg,"1 (12 ounce) package radiatore pasta,¼ cup sesame seeds,¼ cup salad oil,¾ cup soy sauce,½ cup white wine vinegar,3 ½ tablespoons sugar,2 cups cubed, cooked chicken,½ cup chopped fresh parsley,½ cup coarsely chopped green onion,4 cups torn fresh spinach leaves","[{'475': 'Calories'}, {'19g': 'Fat'}, {'54g': 'Carbs'}, {'23g': 'Protein'}]",,,,Sesame Chicken Pasta Salad,,
,,"Bring a large pot of lightly salted water to a boil. Add penne pasta and cook for 8 to 10 minutes or until al dente; drain.,Melt butter in a large skillet over medium heat. Add chicken, pepper and salt. Cook 10 minutes or until chicken is cooked through. Remove skillet from heat.,In a bowl, mix together salad dressing, vinegar and cheese. Toss together pasta, chicken, lettuce, and dressing mixture. Place in large serving bowl, and sprinkle with tomato. Garnish with croutons and Parmesan curls, if desired.",,https://www.allrecipes.com/thmb/-7Htxfnk3Md2U_YHHFwTfa9dFTk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1242096-c31875d9feab4c19863425fd3c5e0aff.jpg,"1 pound dry penne pasta,1 tablespoon butter,6 skinless, boneless chicken breast halves - cut into 1 inch cubes,½ teaspoon ground black pepper,¼ teaspoon salt,1 (8 ounce) bottle Caesar salad dressing,¼ cup red wine vinegar,½ cup grated Parmesan cheese,1 head romaine lettuce - rinsed, dried and shredded,1 large tomato, chopped","[{'465': 'Calories'}, {'16g': 'Fat'}, {'48g': 'Carbs'}, {'29g': 'Protein'}]",,,,Chicken Caesar Pasta,,
,,"Bring a large pot of lightly salted water to a boil. Add ziti pasta, and cook until al dente, about 8 minutes; drain.,Meanwhile, brown ground beef and onion in a large skillet over medium heat; stir in spaghetti sauce and simmer for 15 minutes.,Preheat the oven to 350 degrees F (175 degrees C). Butter a 9x13-inch baking dish.,Spread 1/2 of the ziti in the bottom of the prepared dish; top with Provolone cheese, sour cream, 1/2 of the meat sauce, remaining ziti, mozzarella cheese, and remaining meat sauce. Top with grated Parmesan cheese.,Bake in the preheated oven until heated through and cheeses have melted, about 30 minutes.",,,"1 pound dry ziti pasta,1 onion, chopped,1 pound lean ground beef,2 (26 ounce) jars spaghetti sauce,6 ounces provolone cheese, sliced,1 ½ cups sour cream,6 ounces mozzarella cheese, shredded,2 tablespoons grated Parmesan cheese","[{'578': 'Calories'}, {'25g': 'Fat'}, {'58g': 'Carbs'}, {'28g': 'Protein'}]",,,,Baked Ziti,,
,,"Combine ranch dressing, sour cream, 1 teaspoon taco seasoning, and salsa in a small bowl. Cover and refrigerate until serving.,Toss chicken with remaining taco seasoning. Cover bowl loosely with wax paper or plastic wrap. Microwave chicken until chicken is heated through, about 2 to 3 minutes.,Warm tortillas in a skillet for about a minute on each side to make them pliable. Place a scoop of chicken on the tortilla and top with lettuce, tomato, green onion, olives, avocado, cheese, and a spoonful of the ranch dressing mixture.",,https://www.allrecipes.com/thmb/GvyZXkHVi5pFDEcTzxygMuyjAko=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/972962-ranch-chicken-tacos-Deb-C-4x3-1-b9a394dfd01f4a198ca9ed7a32c5e191.jpg,"½ cup ranch dressing,¼ cup reduced-fat sour cream,1 (1 ounce) packet taco seasoning mix, divided,1 tablespoon mild chunky salsa,2 cups shredded rotisserie chicken,8 (6 inch) corn tortillas,shredded lettuce,1 tomato, chopped,4 green onions, sliced,1 (4 ounce) can sliced black olives,1 avocado - peeled, pitted and diced (Optional),1 cup shredded Colby-Monterey Jack cheese","[{'717': 'Calories'}, {'49g': 'Fat'}, {'40g': 'Carbs'}, {'31g': 'Protein'}]",,,,Ranch Chicken Tacos,,
,,"Preheat grill for high heat.,In a large bowl, mix together softened butter, olive oil, garlic, shallots, chives, salt, pepper, and paprika; add the shrimp, and toss to coat.,Lightly oil grill grate. Cook the shrimp as close to the flame as possible for 2 to 3 minutes per side, or until opaque.",,https://www.allrecipes.com/thmb/mpQinTcDubvMpv6CyMlpZZlRIBs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/945189-5aa94753cc6b48debcc14489964c95c1.jpg,"6 tablespoons unsalted butter, softened,¼ cup olive oil,1 tablespoon minced garlic,1 tablespoon minced shallots,2 tablespoons minced fresh chives,salt and freshly ground black pepper to taste,½ teaspoon paprika,2 pounds large shrimp - peeled and deveined","[{'303': 'Calories'}, {'22g': 'Fat'}, {'1g': 'Carbs'}, {'25g': 'Protein'}]",,,,Garlicky Appetizer Shrimp Scampi,,
,,"Combine chicken, green peas, carrot, shallot, roasted red peppers, cilantro, and lime juice in a bowl. Season with salt and cayenne. Add mayonnaise and mix until combined. Cover chicken salad with plastic wrap and refrigerate until ready to use.,Place potatoes into a pot and cover with salted water; bring to a boil. Reduce heat to medium-low and simmer until very tender but not falling apart, about 20 minutes. Drain well and transfer potatoes to a mixing bowl. Mash until smooth.,Add ají amarillo, olive oil, and lime juice to the potatoes. Season with cayenne and salt. Mash together with a potato masher. Switch to a spatula and mix until completely smooth.,Line four 6-ounce ramekins with plastic wrap. Scoop mashed potatoes evenly into ramekins; press and smooth out the tops. Cover each with a layer of avocado slices. Fill each ramekin to the top with chicken salad, pressing it down and pulling up the plastic wrap to eliminate any air pockets. Cover with a final layer of mashed potatoes, going up to 1/2 inch or more over the rim.,Seal top with a new layer of plastic wrap and fold the sides over to seal. Refrigerate salads until completely chilled, at least 1 hour.,Mix mayonnaise, sour cream, garlic, and ají amarillo together for the sauce, adding a splash of water to adjust the thickness.,Remove the top layer of plastic wrap from each salad. Invert each ramekin onto a serving plate; remove ramekins, then plastic wrap. Spoon some sauce around each salad.",,,"1 large cooked chicken breast, diced or shredded,¼ cup green peas,¼ cup diced cooked carrot,1 teaspoon minced shallot,2 tablespoons finely chopped roasted red peppers,2 tablespoons chopped fresh cilantro,1 teaspoon lime juice,¼ cup mayonnaise, or as needed,1 ¼ pounds Yukon Gold potatoes, peeled and quartered,2 tablespoons aji amarillo chili paste, or to taste,2 tablespoons olive oil,1 lime, juiced, or more to taste,cayenne pepper to taste,salt to taste,1 avocado, quartered and sliced,⅓ cup mayonnaise,1 tablespoon sour cream (Optional),1 small clove garlic, crushed,2 teaspoons aji amarillo chili paste, or to taste,1 teaspoon water as needed","[{'658': 'Calories'}, {'49g': 'Fat'}, {'41g': 'Carbs'}, {'19g': 'Protein'}]",,,,Peruvian Potato-Chicken Salad (Causa Rellena),,
,,"Preheat the oven to 350 degrees F (175 degrees C). Position a rack in the center of the oven. Wrap the outside of a 9-inch springform pan with heavy-duty aluminum foil.,Combine flour, pecans, butter, brown sugar, and vanilla extract in a large bowl. Mix well. Press mixture into the bottom of the prepared pan.,Bake crust in the preheated oven for 10 to 12 minutes. Remove from oven and let cool; leave oven on.,Beat cream cheese in a large bowl using an electric mixer until smooth. Gradually beat in sugar, then cornstarch. Add eggs one at a time, beating after each addition until just blended. Add pureed bananas, sour cream, lemon juice, rum, vanilla extract, cinnamon, and salt. Beat until just combined. Pour filling over the crust.,Place the springform pan in a large roasting pan; add enough water to come halfway up the sides.,Bake in the hot oven until center of cake is just set, about 1 hour and 20 minutes. Turn off oven and leave cheesecake inside until cooled to room temperature, about 2 hours. Refrigerate cheesecake, uncovered, until well chilled, about 1 hour. Cover pan and return to the refrigerator, 8 hours to overnight.,Cut carefully around edges of the cheesecake to loosen; remove pan sides. Transfer cheesecake to a platter.,Warm caramel sauce in a small pan over low heat, stirring often, about 5 minutes. Mix in rum.,Decorate the top of the cake with whipped topping and sprinkle with some pecans. Coat banana slices in lemon juice and let dry slightly. Arrange banana slices around the edge of the cake. Drizzle caramel sauce decoratively on top. Serve any leftover sauce on the side for drizzling individual slices.",,https://www.allrecipes.com/thmb/KdZdeNJgS0jNdKlpo2TcKZrFQhU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/853679-7068a48ff62744caaf58f9282a13052c.jpg,"¾ cup all-purpose flour,¾ cup finely chopped pecans,4 tablespoons unsalted butter,2 tablespoons packed brown sugar,½ teaspoon vanilla extract,2 (8 ounce) packages cream cheese, softened,1 ¼ cups white sugar,2 tablespoons cornstarch,3 large eggs,2 cups pureed bananas,1 cup sour cream,1 ½ tablespoons fresh lemon juice,1 tablespoon dark rum,½ teaspoon vanilla extract,½ teaspoon ground cinnamon,1 pinch salt,1 (8 ounce) jar caramel sauce,2 tablespoons dark rum,1 (8 ounce) container whipped topping,2 tablespoons finely chopped pecans, or more to taste,2 bananas, thinly sliced,¼ cup lemon juice","[{'649': 'Calories'}, {'34g': 'Fat'}, {'79g': 'Carbs'}, {'9g': 'Protein'}]",,,,Bananas Foster Cheesecake,,
