calories,cook_time,course,cuisine,directions_steps,image,ingredients_list,nutrition_facts,prep_time,servings,subheading,title,total_time
49,15 minutes,"Dinner, Lunch, Salad","Mediterranean, Moroccan","Parboil carrots in a pot with salted water for 5-10 minutes until slightly cooked, then drain and set aside. (see notes below),Using a chopping board and a sharp knife, peel and mince the garlic.,Prepare the dressing in a bowl by whisking together olive oil, lemon juice, garlic, parsley, paprika, cumin, black pepper, and grated lemon rind.,Mix the warm par-boiled carrots with the dressing in a bowl.,Refrigerate the carrot salad for at least 15 minutes before serving. It tastes better when prepared 1-2 days in advance, allowing the flavors to fully blend.,Serve the salad as a side dish alongside grilled vegetables, meat, fish, chicken, and bread, or enjoy it as it is!",,"2 cups cut carrots (sliced rondelle-style),½ teaspoon teaspoon salt,¼ cup olive oil,2 tablespoon parsley chopped,1 clove of garlic,½ teaspoon paprika powder,½ teaspoon black pepper,1 teaspoon cumin,2 tablespoon lemon juice,grated lemon zest (from about half a lemon)",,15 minutes,3,Parsley and Lemon Moroccan Carrot Salad that tastes amazing!! The perfect Mediterranean side dish that can be made all year round!,Parsley and Lemon Moroccan Carrot Salad,30 minutes
171,5 minutes,"Breakfast, brunch","American, Italian","Combine the whipping cream, powdered sweetener, and red food coloring in a small cup or bowl. Use a whisk to whip the cream until it forms stiff peaks.,In a small saucepan, combine coffee, milk, the broken chocolate bar, and the cocoa powder. Bring this to heat under low to medium heat then use a whisk to combine until most but not all of the chocolate is melted.,Remove the saucepan from the heat, stir in the red food coloring and vanilla extract.,Pour the latte into cups, top with the whipped cream, and garnish with chocolate shavings, sprinkles, or as preferred. Serve and enjoy warm.",,"⅓ cup full fat whipping cream,1 tablespoon powdered sweetener  (such as regular sugar or a low-carb sweetener such as allulose),1-3 drops red food coloring,1  cup coffee,1½ cups milk of choice (such as regular dairy, almond milk, or coconut milk),3 oz unsweetened or semi-sweet white or dark chocolate bar, broken into small pieces (see notes below) (approx. 85 grams),1 teaspoon unsweetened or semi-sweet cocoa powder,a few drops of red food coloring,1 teaspoon vanilla extract,chocolate shavings or sprinkles to decorate (optional)",,5 minutes,2,"This cozy and delicious red velvet coffee is the perfect comfort drink! Make it for your loved ones on birthdays, Valentine's Day, or other special holidays, or simply enjoy it every day! ",Red Velvet Coffee,10 minutes
,,,,,,,"[{'Calories:': '709'}, {'Carbohydrates:': '16'}, {'Protein:': '47'}, {'Fat:': '52'}, {'Saturated Fat:': '32'}, {'Polyunsaturated Fat:': '0'}, {'Trans Fat:': '0'}, {'Cholesterol:': '126'}, {'Sodium:': '1169'}, {'Potassium:': '625'}, {'Fiber:': '4'}, {'Sugar:': '4'}, {'Vitamin A:': '419'}, {'Vitamin C:': '15'}, {'Calcium:': '43'}, {'Iron:': '4'}]",,,,,
,,,,,,,"[{'Calories:': '321'}, {'Carbohydrates:': '5'}, {'Protein:': '12'}, {'Fat:': '28'}, {'Saturated Fat:': '15'}, {'Polyunsaturated Fat:': '2'}, {'Monounsaturated Fat:': '9'}, {'Trans Fat:': '0.1'}, {'Cholesterol:': '232'}, {'Sodium:': '602'}, {'Potassium:': '258'}, {'Fiber:': '1'}, {'Sugar:': '2'}, {'Vitamin A:': '2218'}, {'Vitamin C:': '11'}, {'Calcium:': '230'}, {'Iron:': '2'}]",,,,,
,,,,,,,"[{'Calories:': '350'}, {'Carbohydrates:': '49'}, {'Protein:': '6'}, {'Fat:': '14'}, {'Saturated Fat:': '8'}, {'Polyunsaturated Fat:': '1'}, {'Monounsaturated Fat:': '4'}, {'Cholesterol:': '35'}, {'Sodium:': '699'}, {'Potassium:': '67'}, {'Fiber:': '2'}, {'Sugar:': '1'}, {'Calcium:': '10'}, {'Iron:': '3'}]",,,,,
,,,,,,,"[{'Calories:': '164'}, {'Carbohydrates:': '16'}, {'Protein:': '3'}, {'Fat:': '11'}, {'Saturated Fat:': '2'}, {'Polyunsaturated Fat:': '1'}, {'Monounsaturated Fat:': '8'}, {'Sodium:': '280'}, {'Potassium:': '458'}, {'Fiber:': '6'}, {'Sugar:': '8'}, {'Vitamin A:': '2751'}, {'Vitamin C:': '111'}, {'Calcium:': '95'}, {'Iron:': '1'}]",,,,,
,,,,,,,"[{'Calories:': '77'}, {'Carbohydrates:': '7'}, {'Protein:': '1'}, {'Fat:': '5'}, {'Saturated Fat:': '3'}, {'Polyunsaturated Fat:': '0.3'}, {'Monounsaturated Fat:': '2'}, {'Trans Fat:': '0.2'}, {'Cholesterol:': '15'}, {'Sodium:': '113'}, {'Potassium:': '13'}, {'Fiber:': '0.3'}, {'Sugar:': '0.1'}, {'Vitamin A:': '130'}, {'Calcium:': '25'}, {'Iron:': '1'}]",,,,,
,,,,,,,"[{'Calories:': '74'}, {'Carbohydrates:': '11'}, {'Protein:': '1'}, {'Fat:': '3'}, {'Saturated Fat:': '1'}, {'Polyunsaturated Fat:': '1'}, {'Monounsaturated Fat:': '1'}, {'Trans Fat:': '1'}, {'Sodium:': '15'}, {'Potassium:': '10'}, {'Fiber:': '1'}, {'Sugar:': '4'}, {'Vitamin A:': '1'}, {'Vitamin C:': '1'}, {'Calcium:': '2'}, {'Iron:': '1'}]",,,,,
,,,,,,,"[{'Calories:': '635'}, {'Carbohydrates:': '4'}, {'Protein:': '46'}, {'Fat:': '47'}, {'Saturated Fat:': '14'}, {'Polyunsaturated Fat:': '9'}, {'Monounsaturated Fat:': '21'}, {'Trans Fat:': '0.4'}, {'Cholesterol:': '196'}, {'Sodium:': '1573'}, {'Potassium:': '576'}, {'Fiber:': '2'}, {'Sugar:': '1'}, {'Vitamin A:': '1751'}, {'Vitamin C:': '16'}, {'Calcium:': '58'}, {'Iron:': '3'}]",,,,,
,,,,,,,"[{'Calories:': '332'}, {'Carbohydrates:': '7'}, {'Protein:': '23'}, {'Fat:': '23'}, {'Saturated Fat:': '6'}, {'Polyunsaturated Fat:': '5'}, {'Monounsaturated Fat:': '10'}, {'Trans Fat:': '0.2'}, {'Cholesterol:': '94'}, {'Sodium:': '675'}, {'Potassium:': '290'}, {'Fiber:': '1'}, {'Sugar:': '1'}, {'Vitamin A:': '455'}, {'Vitamin C:': '35'}, {'Calcium:': '27'}, {'Iron:': '2'}]",,,,,
,,,,,,,"[{'Calories:': '590'}, {'Carbohydrates:': '82'}, {'Protein:': '26'}, {'Fat:': '17'}, {'Saturated Fat:': '3'}, {'Polyunsaturated Fat:': '2'}, {'Monounsaturated Fat:': '11'}, {'Cholesterol:': '47'}, {'Sodium:': '539'}, {'Potassium:': '1046'}, {'Fiber:': '6'}, {'Sugar:': '3'}, {'Vitamin A:': '56'}, {'Vitamin C:': '32'}, {'Calcium:': '86'}, {'Iron:': '4'}]",,,,,
,,,,,,,"[{'Calories:': '610'}, {'Carbohydrates:': '75'}, {'Protein:': '30'}, {'Fat:': '21'}, {'Saturated Fat:': '7'}, {'Polyunsaturated Fat:': '1'}, {'Monounsaturated Fat:': '9'}, {'Trans Fat:': '1'}, {'Cholesterol:': '59'}, {'Sodium:': '1030'}, {'Potassium:': '1114'}, {'Fiber:': '5'}, {'Sugar:': '9'}, {'Vitamin A:': '1964'}, {'Vitamin C:': '17'}, {'Calcium:': '112'}, {'Iron:': '5'}]",,,,,
,,,,,,,"[{'Calories:': '148'}, {'Carbohydrates:': '24'}, {'Protein:': '1'}, {'Fat:': '5'}, {'Saturated Fat:': '1'}, {'Trans Fat:': '0'}, {'Sodium:': '148'}, {'Potassium:': '351'}, {'Fiber:': '4'}, {'Sugar:': '11'}, {'Vitamin A:': '886'}, {'Vitamin C:': '2'}, {'Calcium:': '27'}, {'Iron:': '1'}]",,,,,
,,,,,,,"[{'Calories:': '32'}, {'Carbohydrates:': '5'}, {'Protein:': '1'}, {'Fat:': '1'}, {'Saturated Fat:': '0.3'}, {'Polyunsaturated Fat:': '0.2'}, {'Monounsaturated Fat:': '0.4'}, {'Cholesterol:': '1'}, {'Sodium:': '13'}, {'Potassium:': '17'}, {'Fiber:': '0.1'}, {'Sugar:': '2'}, {'Vitamin A:': '42'}, {'Vitamin C:': '0.04'}, {'Calcium:': '11'}, {'Iron:': '0.04'}]",,,,,
,,,,,,,"[{'Calories:': '193'}, {'Carbohydrates:': '44'}, {'Protein:': '5'}, {'Fat:': '0.2'}, {'Saturated Fat:': '0.1'}, {'Polyunsaturated Fat:': '0.1'}, {'Monounsaturated Fat:': '0.01'}, {'Sodium:': '454'}, {'Potassium:': '1054'}, {'Fiber:': '6'}, {'Sugar:': '2'}, {'Vitamin A:': '6'}, {'Vitamin C:': '49'}, {'Calcium:': '33'}, {'Iron:': '2'}]",,,,,
709,40 minutes,"Dinner, Lunch","African, swahili recipes","Clean the chicken by rinsing it with lemon juice or patting it dry with a paper towel,Next, cut the chicken into serving pieces, remove excess fat, and make slits on the surface for the marinade to penetrate. Place the chicken in a bowl.,Add lemon juice, garlic, ginger, marinade spices, and salt to the chicken. Drizzle with olive oil and mix well.,Cover the chicken and marinate in the refrigerator for at least 30 minutes, or overnight for best flavor.,Preheat the grill to between medium and medium-high. If using a coal grill or jiko, make sure that the flames are not too hot (see notes below for oven instructions).,Take the chicken out of the fridge before grilling and let it come to room temperature. This helps it cook evenly.,Grease the chicken pieces with cooking oil and grill for 5 minutes per side.,Continue flipping the chicken every 5 minutes until it reaches an internal temperature of 165°F (74°C) or has been cooked for at least 25 minutes.,Once cooked through, set the chicken pieces aside, cover with foil to prevent cooling, and proceed to prepare the sauce.,Heat a nonstick pan over medium heat. Add cooking oil and onions. Fry until translucent and fragrant.,Add the tomato paste, salt, minced garlic and ginger, turmeric and ground cumin then stir to combine. Add the coconut cream and lemon juice then give it a good mix.,Reduce the heat to medium-low, cover, and allow the sauce to cook for about 10 minutes, stirring from time to time. Next, stir in the bell pepper and coriander and cook for a further 2-5 minutes.,Lay the grilled chicken pieces on a serving plate and spoon the hot coconut sauce on top. Garnish with chopped coriander or sliced chilli, and serve.",,"1 full medium-sized    (skinless and bone-in or, your preferred cut, such as the breast).,1 ½ tablespoon tablespoon    (or favourite cooking oil).,1 teaspoon,½ teaspoon turmeric powder (ground turmeric),1 ½ tablespoon lemon juice,juice of half a lemon to clean the chicken,1 tablespoon ginger finely minced,1 tablespoon garlic finely minced,½ teaspoon black pepper,½ teaspoon red chili powder optional,1 teaspoon coriander powder (ground cilantro),1 teaspoon cumin powder (ground cumin),2 tablespoon suitable cooking oil (olive oil, coconut oil or your preferred choice of cooking oil),1 medium-sized onion (finely diced or julienne sliced),1 large bell pepper (chopped),½ teaspoon turmeric powder  (ground turmeric),⅓ cup tomato paste,½ teaspoon ginger (finely minced or crushed),½ teaspoon garlic (finely minced or crushed),1 ½ tablespoon lemon juice,½ teaspoon salt,1 ½ cups canned coconut milk,½ teaspoon cumin powder (ground cumin)",,10 minutes,4,"The Best East African Kuku Paka recipe! Chicken pieces are tenderly marinated in spices, grilled, then served in a flavorful coconut sauce.",East African Kuku Paka Recipe,20 minutes
321,45 minutes,"Appetizer, Breakfast, brunch, Dinner, Lunch","American, British, Continental","Grease an oven-safe dish with butter.,Heat oil on medium heat in a large pan. Saute the onion and garlic until translucent.,Add the spinach, stir, and cook until it’s wilted, stirring from time to time. Once the spinach has wilted, remove the pan from the heat and set it aside.,In a bowl, whisk the eggs, creme fraiche (or milk or heavy cream), salt, nutmeg, and pepper. Drain away any excess liquid from the spinach. Fold in the cooked spinach, top with the crumbled Feta cheese then combine.,Pour the egg mixture into the oven-safe dish. Top with halved cherry tomatoes and shredded cheddar cheese.,Preheat your air fryer at 350°F (or 180°C) for 5 minutes. While the air fryer is preheating, cover and seal the dish with aluminum foil, making sure to pierce a few holes in the foil to allow the steam from cooking to escape.,Air fry for 30-50 minutes, or until set and golden on top, checking every 15 minutes to ensure it does not overbrown. Once cooked allow your air fryer quiche to rest for at least 10 minutes before serving. (See notes below).",,"1 tablespoon butter or margarine for greasing the dish,1 tablespoon olive oil (or preferred choice of cooking oil),½ small onion finely diced or finely sliced,2 cloves garlic minced,2 cups fresh spinach trimmed and properly washed,5 large eggs,⅔ cups Creme fraiche, milk, or heavy cream,¼ teaspoon salt (use more or less, to taste),a pinch of nutmeg (optional),a pinch  of black pepper  (use more or less, to taste),85 grams Feta cheese  (crumbled - approximately 3 oz),8-10 cherry tomatoes halved,1 cup sharp cheddar cheese",,15 minutes,5,"Whether you are looking to have a simple breakfast or elevate your brunch or other meals, this elegant yet easy air fryer crustless spinach and feta quiche is sure to impress.",Air Fryer Crustless Quiche,
350,30 minutes,"Appetizer, Breakfast, brunch, Dinner, Lunch, Side Dish","African, Kenyan, Tanzanian, Ugandan","Mix the dry ingredients, namely all-purpose flour, salt, and sugar in a large bowl.,to the dough and knead some more, for about two minutes (you will use the rest of the oil to cook). The dough should now feel soft and pliable, and should no longer stick to the fingers.,Cover the dough with a clean and damp kitchen cloth or plastic wrap and allow it to rest for at least 30 minutes at room temperature.,Divide the dough into 10 equally-sized balls. Dust a wooden pastry board or your kitchen counter with flour, lightly sprinkle some flour on top of each ball of dough, and use a rolling pin to roll each into a circle of 20cm in diameter (about 8 inches). If the dough resists stretching, let it relax for a while and then roll again. Feel free to dust with more flour, if the dough sticks to the rolling board.,Brush each chapati with a little melted ghee or cooking oil, lightly sprinkle some flour on top and roll it so it resembles a rope (skip this step for plain chapatis - see the notes below).  Next, coil the rope towards the centre, and tuck the end in the middle.,Cover the coiled balls of dough with a clean kitchen towel and allow this to rest for 10 minutes. Next, lightly dust your kitchen counter or wooden pastry board with flour again. Roll out each ball of dough into a circle of 20cm (about 8 inches) in diameter and 3mm (about ⅛th inch) in thickness. Feel free to lightly dust with flour, so it rolls out easily.,Bring a non-stick or heavy-bottomed pan to high heat. Once hot, reduce the heat to a medium and place the rolled chapati dough on top. Cook each side until brown spots form and the chapati starts to puff up then use a spoon to flip.,Lightly brush the cooked surface with melted ghee, allow the bottom to also brown and puff up, flip and allow the oiled side to cook for one to two minutes. Lightly brush the other side with ghee or cooking oil as well and allow it to cook for a minute or two, or until the desired level of brown has been obtained.,Serve chapati with tea or your favourite stews, curries, or grilled dishes.",,"5 cups all-purpose flour,1 tablespoon salt,1 tablespoon sugar (optional),2¾ cups water,6 tablespoon ghee or cooking oil (to add to the flour, and to smoothen the dough),½ cup ghee or cooking oil (to knead as well as fry the chapati)",,15 minutes,10,"Fall in love with these layered, soft, and delicious East African chapati!",Soft Chapati Recipe,25 minutes
164,20 minutes,Side Dish,"Carribean, Jamaican","Prepare, wash, and slice the cabbage, scallions (or spring onions), carrot, bell pepper, and onions. Crush garlic using a pestle and mortar or slice it finely.,On medium heat, in a medium-sized pot, non-stick wok, or pan, heat oil and fry onions and garlic. Then add scallions, carrot, scotch bonnet pepper, and thyme.,Add the cabbage, salt, and water or vegetable stock. Steam for about 10 minutes before adding the julienned peppers. Adding the peppers at a later stage enhances the flavor.,Steam your cabbage for a further 5 minutes before serving if you prefer it crunchier. For a more tender Jamaican steamed cabbage, allow it to further steam, for about 10-15 more minutes before serving.,Check for salt and add more if needed.,Serve with saltfish and ackee, jerk chicken or pork, or your favorite Caribbean dishes.,Set the Instant Pot to SAUTE and NORMAL temperature. Add olive oil and allow to heat. Fry the onions, scallions or spring onions, thyme and scotch bonnet pepper (optional) until the onion is translucent. Add the garlic and allow to saute for about 3 minutes.,Add the cabbage, julienned peppers, carrots and vegetable stock or water.,Lock the lid of the Instant Pot and set the nozzle to SEAL. Set the settings of the Instant Pot to PRESSURE COOK or MANUAL and set the time to 3 minutes on HIGH.,Once the set cooking time has passed, set the nozzle to vent for pressure QUICK RELEASE.,Open the lid and stir. Add more salt if needed then serve.",,"1 cabbage medium-sized,½ onion medium,½ cup scallions or green onion sliced,3 cloves of garlic,½ large bell pepper red,½ large bell pepper yellow,2 sprigs of thyme,1 carrot medium,½ teaspoon salt,¼ cup extra virgin olive oil or regular unsalted butter,1 scotch bonnet pepper optional,1 cup water or vegetable stock",,10 minutes,5,Learn how to make the best Jamaican steamed cabbage with carrots; Instant Pot method included. This tasty Caribbean recipe makes for a great side dish.,Jamaican Steamed Cabbage,30 minutes
77,12 minutes,"Breakfast, brunch, Snack","Turkish, World Cuisine","Preheat your oven at 180°C (or 350°F), conventional heating.,In a mixing bowl, combine room-temperature butter, cooking oil, and vinegar. To avoid over-processing, simply use your hands, a small whisk, a wooden spoon, or a spatula.,Add the all-purpose flour, salt, sugar, and baking powder to the mixture. Using your hands, knead until you obtain a homogenous dough.,For shaping, either: Roll out the dough and use a cookie cutter for desired shapes, or pinch out walnut-sized pieces of dough, then roll these into balls.,Roll each piece between your hands to create rods, then shape as desired.,Arrange the cookies on a lined baking tray.  Brush the tops of the cookies with egg yolk, sprinkle with sesame (or cumin) seeds on top, and bake for 11 -14 minutes, or until golden brown and done.,Once done, remove the cookies from the oven and allow them to cool before serving.",,"250 g butter - at room temperature (or 1 cup),2 tablespoon white vinegar,2 tablespoon cooking oil,1 teaspoon sugar,1 teaspoon salt,4 teaspoon baking powder,450 g all-purpose flour,1-2 egg yolks (for brushing the cookies with),1 tablespoon sesame seeds,1 tablespoon black sesame seeds (alternatively, use nigella seeds or black cumin seeds)",,10 minutes,50,"Tuzlu Kurabiye are delicious Turkish cookies. Easy to make, ready in just a few minutes, with just the right amount of saltiness, these tasty cookies are a wonderful treat!",Tuzlu Kurabiye - Salty Turkish Cookies,22 minutes
74,20 minutes,"Breakfast, brunch, Dessert, Snack","African, East African","In a bowl, sift self-raising flour, sugar, cardamom, and salt. Add grated lemon zest, then create a well in the center for warm water. Gradually add water while kneading until the dough is smooth. Avoid overworking it. Cover the bowl and let it rest in a warm place for at least 20 minutes or overnight.,Once the dough has rested, transfer it to a floured rolling board or a clean kitchen countertop.,Divide the dough into 4 portions, and roll each portion between the palms of your hands to form a ball. Roll out each ball of dough to a circle, about 20cm in diameter and ¼-inch (6ml) thick. Cut into 8 triangles or as preferred.,Heat the oil in a large pot to 350°F (180°C) and fry for 3-5 minutes on each side or until golden brown.,Transfer them to a kitchen or paper towel-lined bowl to drain. Serve your Kenyan mandazi with a cup of chai, coffee or simply enjoy them as they are! You can also store them in paper bags for later.",,"3 cups self-raising flour  (plus more to dust),¾ cup sugar,grated lemon rind or zest,½ teaspoon cardamom (iliki) (optional),¼ teaspoon salt,1½ cup warm water (use more or less, until you obtain a firm dough),oil for frying",,10 minutes,40,"Make delicious, soft, lemon-flavored East African (Kenyan) mandazi without milk, yeast, or eggs! ",Easy and Soft Kenyan Mandazi Recipe,50 minutes
